date,branch,ensemble
2025-12-07,Babesa Showroom,5004910.664558109
2025-12-14,Babesa Showroom,4982395.739851203
2025-12-21,Babesa Showroom,4844811.251884391
2025-12-28,Babesa Showroom,4844427.368317338
2025-12-07,Torsa Warehouse,2411198.6645194683
2025-12-14,Torsa Warehouse,2396729.39003263
2025-12-21,Torsa Warehouse,2314544.9925066885
2025-12-28,Torsa Warehouse,2306931.6878010947
2025-12-07,Paro Showroom,1755720.1488990823
2025-12-14,Paro Showroom,1602711.7065222596
2025-12-21,Paro Showroom,1719114.6567420606
2025-12-28,Paro Showroom,1602658.6486965553
2025-12-07,Phuentsholing Showroom,1333338.6657664655
2025-12-14,Phuentsholing Showroom,1300827.3232653812
2025-12-21,Phuentsholing Showroom,1196517.37011503
2025-12-28,Phuentsholing Showroom,1432054.5281305742
2025-12-07,Gelephu Showroom,899853.8107726377
2025-12-14,Gelephu Showroom,783699.3377419218
2025-12-21,Gelephu Showroom,674276.976341475
2025-12-28,Gelephu Showroom,750849.0788904744
