date,branch,ensemble
12/7/2025,Babesa Showroom,7087635.407
12/14/2025,Babesa Showroom,7038463.771
12/21/2025,Babesa Showroom,6527131.26
12/28/2025,Babesa Showroom,6926468.815
12/7/2025,Torsa Warehouse,2289958.308
12/14/2025,Torsa Warehouse,2269170.303
12/21/2025,Torsa Warehouse,2218545.888
12/28/2025,Torsa Warehouse,2254641.588
12/7/2025,Paro Showroom,2386277.221
12/14/2025,Paro Showroom,2247280.056
12/21/2025,Paro Showroom,2200496.35
12/28/2025,Paro Showroom,2220509.612
12/7/2025,Phuentsholing Showroom,1594006.489
12/14/2025,Phuentsholing Showroom,1507290.372
12/21/2025,Phuentsholing Showroom,1753615.948
12/28/2025,Phuentsholing Showroom,1611889.033
12/7/2025,Gelephu Showroom,826352.8123
12/14/2025,Gelephu Showroom,835338.6836
12/21/2025,Gelephu Showroom,801140.7258
12/28/2025,Gelephu Showroom,796470.4349
