antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,rule_length,antecedents_str,consequents_str,branch
frozenset({'perfect tmx tmt rebar 20 mm - perfect tmx tmt - general'}),frozenset({'perfect tmx tmt rebar 10 mm - perfect tmx tmt - general'}),0.43333333333333335,0.5083333333333333,0.35,0.8076923076923076,1.5889029003783102,1.0,0.1297222222222222,2.5566666666666658,0.65406162464986,0.5915492957746479,0.6088657105606257,0.748108448928121,2,perfect tmx tmt rebar 20 mm - perfect tmx tmt - general,perfect tmx tmt rebar 10 mm - perfect tmx tmt - general,Pasakha Godown
frozenset({'perfect tmx tmt rebar 10 mm - perfect tmx tmt - general'}),frozenset({'perfect tmx tmt rebar 20 mm - perfect tmx tmt - general'}),0.5083333333333333,0.43333333333333335,0.35,0.6885245901639344,1.5889029003783102,1.0,0.1297222222222222,1.819298245614035,0.7538337368845842,0.5915492957746479,0.4503375120540019,0.748108448928121,2,perfect tmx tmt rebar 10 mm - perfect tmx tmt - general,perfect tmx tmt rebar 20 mm - perfect tmx tmt - general,Pasakha Godown
frozenset({'perfect tmx tmt rebar 10 mm - perfect tmx tmt - general'}),frozenset({'perfect tmx tmt rebar 08 mm - perfect tmx tmt - general'}),0.5083333333333333,0.4166666666666667,0.3416666666666667,0.6721311475409837,1.6131147540983608,1.0,0.12986111111111112,1.7791666666666668,0.7730467135179827,0.5857142857142857,0.43793911007025776,0.7460655737704918,2,perfect tmx tmt rebar 10 mm - perfect tmx tmt - general,perfect tmx tmt rebar 08 mm - perfect tmx tmt - general,Pasakha Godown
frozenset({'perfect tmx tmt rebar 08 mm - perfect tmx tmt - general'}),frozenset({'perfect tmx tmt rebar 10 mm - perfect tmx tmt - general'}),0.4166666666666667,0.5083333333333333,0.3416666666666667,0.82,1.6131147540983606,1.0,0.12986111111111112,2.731481481481481,0.6515679442508712,0.5857142857142857,0.6338983050847457,0.7460655737704918,2,perfect tmx tmt rebar 08 mm - perfect tmx tmt - general,perfect tmx tmt rebar 10 mm - perfect tmx tmt - general,Pasakha Godown
frozenset({'perfect tmx tmt rebar 20 mm - perfect tmx tmt - general'}),frozenset({'perfect tmx tmt rebar 08 mm - perfect tmx tmt - general'}),0.43333333333333335,0.4166666666666667,0.30833333333333335,0.7115384615384616,1.7076923076923076,1.0,0.12777777777777777,2.022222222222222,0.7313195548489666,0.5692307692307692,0.5054945054945056,0.7257692307692307,2,perfect tmx tmt rebar 20 mm - perfect tmx tmt - general,perfect tmx tmt rebar 08 mm - perfect tmx tmt - general,Pasakha Godown
frozenset({'perfect tmx tmt rebar 08 mm - perfect tmx tmt - general'}),frozenset({'perfect tmx tmt rebar 20 mm - perfect tmx tmt - general'}),0.4166666666666667,0.43333333333333335,0.30833333333333335,0.74,1.7076923076923076,1.0,0.12777777777777777,2.1794871794871793,0.7104247104247103,0.5692307692307692,0.5411764705882353,0.7257692307692307,2,perfect tmx tmt rebar 08 mm - perfect tmx tmt - general,perfect tmx tmt rebar 20 mm - perfect tmx tmt - general,Pasakha Godown
"frozenset({'perfect tmx tmt rebar 20 mm - perfect tmx tmt - general', 'perfect tmx tmt rebar 10 mm - perfect tmx tmt - general'})",frozenset({'perfect tmx tmt rebar 08 mm - perfect tmx tmt - general'}),0.35,0.4166666666666667,0.275,0.7857142857142858,1.885714285714286,1.0,0.12916666666666668,2.722222222222223,0.7226107226107226,0.5593220338983053,0.63265306122449,0.7228571428571429,3,"perfect tmx tmt rebar 10 mm - perfect tmx tmt - general, perfect tmx tmt rebar 20 mm - perfect tmx tmt - general",perfect tmx tmt rebar 08 mm - perfect tmx tmt - general,Pasakha Godown
"frozenset({'perfect tmx tmt rebar 20 mm - perfect tmx tmt - general', 'perfect tmx tmt rebar 08 mm - perfect tmx tmt - general'})",frozenset({'perfect tmx tmt rebar 10 mm - perfect tmx tmt - general'}),0.30833333333333335,0.5083333333333333,0.275,0.8918918918918919,1.7545414266725743,1.0,0.11826388888888892,4.547916666666667,0.6217597663380797,0.5076923076923078,0.7801191021530005,0.7164377492246345,3,"perfect tmx tmt rebar 08 mm - perfect tmx tmt - general, perfect tmx tmt rebar 20 mm - perfect tmx tmt - general",perfect tmx tmt rebar 10 mm - perfect tmx tmt - general,Pasakha Godown
"frozenset({'perfect tmx tmt rebar 10 mm - perfect tmx tmt - general', 'perfect tmx tmt rebar 08 mm - perfect tmx tmt - general'})",frozenset({'perfect tmx tmt rebar 20 mm - perfect tmx tmt - general'}),0.3416666666666667,0.43333333333333335,0.275,0.8048780487804879,1.8574108818011257,1.0,0.12694444444444447,2.9041666666666672,0.7011891062523975,0.55,0.6556671449067433,0.7197467166979363,3,"perfect tmx tmt rebar 08 mm - perfect tmx tmt - general, perfect tmx tmt rebar 10 mm - perfect tmx tmt - general",perfect tmx tmt rebar 20 mm - perfect tmx tmt - general,Pasakha Godown
frozenset({'perfect tmx tmt rebar 20 mm - perfect tmx tmt - general'}),"frozenset({'perfect tmx tmt rebar 10 mm - perfect tmx tmt - general', 'perfect tmx tmt rebar 08 mm - perfect tmx tmt - general'})",0.43333333333333335,0.3416666666666667,0.275,0.6346153846153847,1.857410881801126,1.0,0.12694444444444447,1.8017543859649126,0.8146167557932265,0.55,0.4449853943524831,0.7197467166979363,3,perfect tmx tmt rebar 20 mm - perfect tmx tmt - general,"perfect tmx tmt rebar 08 mm - perfect tmx tmt - general, perfect tmx tmt rebar 10 mm - perfect tmx tmt - general",Pasakha Godown
